FinancialYear;PresentationType;StateOrTerritory;GeographicAreaType;GeographicAreaCode;GeographicAreaName;Measure;Value
2014–15;All presentations;Queensland;PHN;PHN303;Gold Coast;Rate (per 10,000 population);2787
2014–15;All presentations;Queensland;PHN;PHN304;Darling Downs and West Moreton;Number;123754
2014–15;All presentations;Queensland;PHN;PHN304;Darling Downs and West Moreton;Rate (per 10,000 population);2282
2014–15;All presentations;Queensland;PHN;PHN305;Western Queensland;Number;28816
2014–15;All presentations;Queensland;PHN;PHN305;Western Queensland;Rate (per 10,000 population);4220
2014–15;All presentations;Queensland;PHN;PHN306;Central Queensland, Wide Bay, Sunshine Coast;Number;289493
2014–15;All presentations;Queensland;PHN;PHN306;Central Queensland, Wide Bay, Sunshine Coast;Rate (per 10,000 population);3519
2014–15;All presentations;Queensland;PHN;PHN307;Northern Queensland;Number;185325
2014–15;All presentations;Queensland;PHN;PHN307;Northern Queensland;Rate (per 10,000 population);2699
2014–15;All presentations;Western Australia;PHN;PHN501;Perth North;Number;284560
2014–15;All presentations;Western Australia;PHN;PHN501;Perth North;Rate (per 10,000 population);2748
2014–15;All presentations;Western Australia;PHN;PHN502;Perth South;Number;294003
2014–15;All presentations;Western Australia;PHN;PHN502;Perth South;Rate (per 10,000 population);3109
2014–15;All presentations;Western Australia;PHN;PHN503;Country WA;Number;204920
2014–15;All presentations;Western Australia;PHN;PHN503;Country WA;Rate (per 10,000 population);3803
2014–15;All presentations;South Australia;PHN;PHN401;Adelaide;Number;350437
2014–15;All presentations;South Australia;PHN;PHN401;Adelaide;Rate (per 10,000 population);2930
2014–15;All presentations;South Australia;PHN;PHN402;Country SA;Number;116850
2014–15;All presentations;South Australia;PHN;PHN402;Country SA;Rate (per 10,000 population);2381
2014–15;All presentations;Tasmania;PHN;PHN601;Tasmania;Number;149282
2014–15;All presentations;Tasmania;PHN;PHN601;Tasmania;Rate (per 10,000 population);2906
2014–15;All presentations;Australian Capital Territory;PHN;PHN801;Australian Capital Territory;Number;121533
2014–15;All presentations;Australian Capital Territory;PHN;PHN801;Australian Capital Territory;Rate (per 10,000 population);3126
2014–15;All presentations;Northern Territory;PHN;PHN701;Northern Territory;Number;134452
2014–15;All presentations;Northern Territory;PHN;PHN701;Northern Territory;Rate (per 10,000 population);5535
2014–15;Mental health-related presentations;New South Wales;SA4;SA4101;Capital Region;Number;4235
2014–15;Mental health-related presentations;New South Wales;SA4;SA4101;Capital Region;Rate (per 10,000 population);192
2014–15;Mental health-related presentations;New South Wales;SA4;SA4102;Central Coast;Number;4000
2014–15;Mental health-related presentations;New South Wales;SA4;SA4102;Central Coast;Rate (per 10,000 population);121
2014–15;Mental health-related presentations;New South Wales;SA4;SA4103;Central West;Number;7095
2014–15;Mental health-related presentations;New South Wales;SA4;SA4103;Central West;Rate (per 10,000 population);342
2014–15;Mental health-related presentations;New South Wales;SA4;SA4104;Coffs Harbour - Grafton;Number;2165
2014–15;Mental health-related presentations;New South Wales;SA4;SA4104;Coffs Harbour - Grafton;Rate (per 10,000 population);158
2014–15;Mental health-related presentations;New South Wales;SA4;SA4105;Far West and Orana;Number;2058
2014–15;Mental health-related presentations;New South Wales;SA4;SA4105;Far West and Orana;Rate (per 10,000 population);176
2014–15;Mental health-related presentations;New South Wales;SA4;SA4106;Hunter Valley exc Newcastle;Number;3350
2014–15;Mental health-related presentations;New South Wales;SA4;SA4106;Hunter Valley exc Newcastle;Rate (per 10,000 population);127
2014–15;Mental health-related presentations;New South Wales;SA4;SA4107;Illawarra;Number;3274
2014–15;Mental health-related presentations;New South Wales;SA4;SA4107;Illawarra;Rate (per 10,000 population);110
2014–15;Mental health-related presentations;New South Wales;SA4;SA4108;Mid North Coast;Number;2856
2014–15;Mental health-related presentations;New South Wales;SA4;SA4108;Mid North Coast;Rate (per 10,000 population);134
2014–15;Mental health-related presentations;New South Wales;SA4;SA4109;Murray;Number;2884
2014–15;Mental health-related presentations;New South Wales;SA4;SA4109;Murray;Rate (per 10,000 population);248
2014–15;Mental health-related presentations;New South Wales;SA4;SA4110;New England and North West;Number;2767
2014–15;Mental health-related presentations;New South Wales;SA4;SA4110;New England and North West;Rate (per 10,000 population);150
2014–15;Mental health-related presentations;New South Wales;SA4;SA4111;Newcastle and Lake Macquarie;Number;4227
2014–15;Mental health-related presentations;New South Wales;SA4;SA4111;Newcastle and Lake Macquarie;Rate (per 10,000 population);116
2014–15;Mental health-related presentations;New South Wales;SA4;SA4112;Richmond - Tweed;Number;3716
2014–15;Mental health-related presentations;New South Wales;SA4;SA4112;Richmond - Tweed;Rate (per 10,000 population);154
2014–15;Mental health-related presentations;New South Wales;SA4;SA4113;Riverina;Number;2393
2014–15;Mental health-related presentations;New South Wales;SA4;SA4113;Riverina;Rate (per 10,000 population);152
2014–15;Mental health-related presentations;New South Wales;SA4;SA4114;Southern Highlands and Shoalhaven;Number;1867
2014–15;Mental health-related presentations;New South Wales;SA4;SA4114;Southern Highlands and Shoalhaven;Rate (per 10,000 population);127
2014–15;Mental health-related presentations;New South Wales;SA4;SA4115;Sydney - Baulkham Hills and Hawkesbury;Number;1299
2014–15;Mental health-related presentations;New South Wales;SA4;SA4115;Sydney - Baulkham Hills and Hawkesbury;Rate (per 10,000 population);57
2014–15;Mental health-related presentations;New South Wales;SA4;SA4116;Sydney - Blacktown;Number;2623
2014–15;Mental health-related presentations;New South Wales;SA4;SA4116;Sydney - Blacktown;Rate (per 10,000 population);78
2014–15;Mental health-related presentations;New South Wales;SA4;SA4117;Sydney - City and Inner South;Number;4445
2014–15;Mental health-related presentations;New South Wales;SA4;SA4117;Sydney - City and Inner South;Rate (per 10,000 population);143
2014–15;Mental health-related presentations;New South Wales;SA4;SA4118;Sydney - Eastern Suburbs;Number;2867
2014–15;Mental health-related presentations;New South Wales;SA4;SA4118;Sydney - Eastern Suburbs;Rate (per 10,000 population);103
2014–15;Mental health-related presentations;New South Wales;SA4;SA4119;Sydney - Inner South West;Number;5180
2014–15;Mental health-related presentations;New South Wales;SA4;SA4119;Sydney - Inner South West;Rate (per 10,000 population);89
2014–15;Mental health-related presentations;New South Wales;SA4;SA4120;Sydney - Inner West;Number;2057
2014–15;Mental health-related presentations;New South Wales;SA4;SA4120;Sydney - Inner West;Rate (per 10,000 population);69
